name,cgpa
naveen,9.000000
rohith,9.000000
zzx,9.090000
zzw,9.490000
zzr,9.510000
zzz,9.720000
zzm,9.730000
caaarter,10.000000
zyt,9.370000
zyj,9.460000
zyw,9.490000
zya,9.810000
zyn,9.810000
zzc,9.980000
zxv,9.040000
zwo,9.110000
zxk,9.110000
zxh,9.130000
zwr,9.210000
zwq,9.240000
zwy,9.290000
zxd,9.500000
zwx,9.750000
zxt,9.790000
zwt,9.980000
zvq,9.080000
zwl,9.130000
zvj,9.170000
zwn,9.250000
zvh,9.320000
zwc,9.710000
zvs,9.840000
zvu,9.860000
zvb,9.060000
zue,9.120000
zus,9.620000
zub,9.790000
zun,9.870000
zts,9.360000
ztn,9.900000
ztv,9.910000
zsp,9.160000
zst,9.250000
zsw,9.550000
ztd,9.600000
ztm,9.670000
zsk,9.850000
zrn,9.100000
zrf,9.200000
zro,9.240000
zse,9.540000
zrs,9.710000
zrx,9.840000
zrq,9.860000
zsa,9.920000
zqg,9.220000
zqm,9.560000
zpo,9.720000
zos,9.090000
zou,9.140000
zom,9.200000
zpd,9.260000
zpb,9.300000
zpf,9.770000
zmw,9.100000
znw,9.140000
znx,9.400000
znr,9.550000
zne,9.900000
zof,9.910000
znz,9.990000
zoh,10.000000
zml,9.130000
zmi,9.350000
zlz,9.380000
zmk,9.420000
zlp,9.480000
zmj,9.650000
zmb,9.750000
zkg,9.670000
zko,9.860000
zlb,9.870000
zka,9.100000
zjz,9.460000
zhy,9.030000
zhs,9.070000
zhv,9.590000
zil,9.870000
zig,9.900000
ziq,9.940000
zhg,9.100000
zhd,9.240000
zgv,9.350000
zhh,9.860000
zgg,9.640000
zgk,9.670000
zfi,9.690000
zfu,9.970000
zdv,9.230000
zdx,9.490000
zeb,9.550000
zet,9.620000
zdk,9.010000
zdf,9.140000
zda,9.200000
zdh,9.200000
zdm,9.220000
zdd,9.260000
zcv,9.330000
zcw,9.430000
zcq,9.530000
zcs,9.580000
zcx,9.640000
zde,9.670000
zdo,9.880000
zbu,9.130000
zcd,9.160000
zbt,9.180000
zbl,9.210000
zci,9.230000
zcb,9.360000
zca,9.680000
zbd,9.790000
zbg,9.800000
zcj,9.870000
zaa,9.060000
zam,9.440000
zba,9.550000
yzz,9.660000
zaz,9.700000
zak,9.890000
yzl,9.210000
yzn,9.590000
yzk,9.060000
yyu,9.080000
yym,9.240000
yyl,9.360000
yze,9.500000
yza,9.680000
yye,9.890000
yxm,9.030000
yxx,9.030000
yxf,9.100000
yxu,9.260000
ywz,9.280000
yxt,9.340000
yxy,9.530000
yxi,9.750000
yxj,9.920000
yxa,9.950000
yxe,9.960000
ywl,9.350000
ywt,9.350000
ywo,9.410000
ywf,9.720000
yvr,9.940000
yur,9.030000
yuh,9.330000
yuu,9.460000
yut,9.480000
yuj,9.740000
ytc,9.090000
ytn,9.170000
ytf,9.260000
ytb,9.360000
yti,9.440000
ytg,9.490000
yub,9.520000
ytq,9.680000
yua,9.790000
yts,9.970000
ysb,9.260000
yru,9.580000
yrv,9.690000
ysy,9.760000
ysi,9.770000
ysw,9.800000
yrs,9.890000
yrq,9.610000
yrm,9.720000
yrg,9.870000
yqo,9.940000
ypl,9.080000
ypi,9.240000
ypw,9.530000
ypk,9.680000
yqi,9.850000
ypd,9.960000
yow,9.120000
yoj,9.270000
you,9.320000
yoz,9.390000
yom,9.580000
yoe,9.660000
ypa,9.830000
yoo,9.880000
ynt,9.040000
ynd,9.470000
ymx,9.510000
ymq,9.520000
ynp,9.540000
ymf,9.490000
yll,9.920000
ylm,9.940000
ymc,9.950000
ykq,9.090000
ykn,9.550000
ylb,9.660000
ykh,9.760000
yjm,9.030000
yit,9.220000
yiz,9.460000
yja,9.770000
yjp,9.890000
yht,9.120000
yhv,9.180000
yil,9.230000
yij,9.450000
yhx,9.690000
yif,9.900000
ygj,9.010000
ygv,9.010000
yhg,9.070000
ygi,9.460000
ygy,9.740000
ygl,9.940000
yge,9.950000
yfm,9.190000
yfg,9.260000
yfn,9.320000
yfj,9.360000
yfx,9.460000
yfu,9.660000
yfq,9.890000
yfc,9.950000
yeq,9.230000
yec,9.420000
yel,9.850000
yek,10.000000
ydd,9.120000
ydh,9.240000
ych,9.290000
ydb,9.430000
ydo,9.590000
yck,9.760000
ycv,9.810000
ycg,9.870000
yci,9.880000
ydn,9.880000
yct,9.930000
yaz,9.360000
ybq,9.390000
ybv,9.740000
ybh,9.810000
ybx,9.820000
yak,9.250000
yao,9.640000
yam,9.810000
xzk,9.070000
xze,9.410000
xzb,9.600000
xyn,9.790000
xzi,9.890000
xzm,9.910000
xye,9.180000
xyg,9.200000
xxo,9.210000
xxv,9.260000
xxt,9.280000
xyc,9.570000
xyd,9.640000
xxg,9.700000
xxw,9.700000
xxy,9.700000
xyk,9.890000
xwc,9.030000
xwx,9.070000
xwt,9.120000
xwo,9.130000
xwy,9.210000
xvz,9.350000
xxe,9.380000
xxb,9.480000
